time,open,high,low,close
1764550080,26085.25,26090.5,26075.5,26082.5
1764550140,26082.75,26094.5,26080.25,26093.25
1764550200,26092.75,26101.25,26085.5,26089.25
1764550260,26087.75,26089,26077,26080.5
1764550320,26081,26090.75,26077.75,26078
1764550380,26078,26083,26069,26080.75
1764550440,26080,26087,26071.25,26081.75
1764550500,26081.25,26087.75,26071.25,26071.25
1764550560,26071.75,26079.75,26063,26077.25
1764550620,26079.25,26085.25,26073,26079.5
1764550680,26077.75,26079,26067.25,26077.75
1764550740,26078,26087.25,26077.75,26078.75
1764550800,26078.5,26087,26049,26059.5
1764550860,26060,26077.25,26060,26074
1764550920,26073.75,26081.5,26070.75,26073.5
1764550980,26074.25,26078.75,26069.25,26074.25
1764551040,26073.5,26079.75,26070,26077.75
1764551100,26076.25,26081.75,26068.75,26077.75
1764551160,26077,26078.75,26066.75,26073.75
1764551220,26074,26075.5,26067.5,26069.75
1764551280,26070,26070.25,26057.75,26063.75
1764551340,26063.75,26064.75,26050.75,26055
1764551400,26054,26057,26023.75,26051.5
1764551460,26050.75,26063.25,26049.5,26056.25
1764551520,26055.5,26058,26046.25,26053.75
1764551580,26054.75,26069.25,26054,26062.5
1764551640,26062.25,26063.25,26049.75,26059
1764551700,26057.5,26068.5,26052.5,26066.75
1764551760,26065.5,26080.25,26062.5,26075.25
1764551820,26074.75,26083.5,26073.25,26076.75
1764551880,26078,26082.5,26073.25,26078.25
1764551940,26079.25,26079.75,26072.75,26075
1764552000,26074,26083.5,26070.25,26074.75
1764552060,26074,26082.25,26070.5,26074.25
1764552120,26074.5,26084.75,26073.75,26079.75
1764552180,26079.75,26081.25,26075.5,26075.75
1764552240,26077,26077.75,26066.75,26069.5
1764552300,26069.5,26079.5,26068.75,26078
1764552360,26077.5,26080.75,26073.75,26075.5
1764552420,26075.25,26080.5,26073.75,26075.75
1764552480,26074.25,26080.25,26071,26072.25
1764552540,26072.5,26075,26066.75,26066.75
1764552600,26067.75,26070.75,26058.75,26065
1764552660,26065.75,26071.5,26058.25,26070
1764552720,26069.5,26076.5,26067.75,26074
1764552780,26073.25,26077.75,26070.5,26074
1764552840,26072.75,26076,26062.75,26062.75
1764552900,26062.5,26071.5,26057.75,26060.25
1764552960,26060.25,26068.25,26059.25,26059.5
1764553020,26059.25,26063,26055.75,26062.25
1764553080,26062.75,26077,26059,26060.5
1764553140,26059.75,26062.75,26054.25,26058.75
1764553200,26058.5,26073.25,26058.5,26073.25
1764553260,26072.75,26083.75,26071.5,26081.75
1764553320,26081.5,26088.75,26080.25,26085.25
1764553380,26086,26089.25,26081,26087.75
1764553440,26088.25,26091,26085.5,26089
1764553500,26090,26093.5,26085.75,26092.25
1764553560,26092.25,26093.25,26086.25,26089
1764553620,26088.25,26091,26086.25,26089.75
1764553680,26089.75,26093.25,26087.75,26092
1764553740,26092.5,26098,26092.5,26094.75
1764553800,26094.25,26100.25,26093.25,26100.25
1764553860,26100.25,26102,26089.25,26092.5
1764553920,26091.75,26091.75,26084.5,26085
1764553980,26085,26088.5,26081.25,26084
1764554040,26084.25,26089.75,26079.75,26082
1764554100,26081.75,26086.5,26078.75,26080.25
1764554160,26080.5,26082,26076.75,26079.25
1764554220,26078.5,26084.25,26077.75,26083.25
1764554280,26083.25,26086.25,26075.5,26076.75
1764554340,26077,26078,26072.75,26076
1764554400,26076.75,26079.25,26073,26079.25
1764554460,26080.5,26080.5,26071,26075
1764554520,26075.75,26082,26072.75,26082
1764554580,26082.75,26085.5,26073.25,26078
1764554640,26077.75,26078.75,26073,26076.25
1764554700,26077,26078.25,26072,26073
1764554760,26071.25,26073.75,26061.75,26065.5
1764554820,26066.25,26066.75,26059.75,26062.25
1764554880,26062.75,26073.25,26062.75,26069.25
1764554940,26066.75,26069,26061.25,26063
1764555000,26064.25,26069.25,26062.25,26066
1764555060,26065,26067,26060.75,26065.5
1764555120,26067,26070,26062.75,26065.75
1764555180,26064.5,26070.5,26063.5,26064.5
1764555240,26063.5,26065.75,26061.25,26063.5
1764555300,26065.25,26068,26064.75,26067.5
1764555360,26066.25,26066.25,26060,26061.25
1764555420,26059.75,26063,26057.75,26059.75
1764555480,26059,26063.25,26055.5,26057.75
1764555540,26057.25,26058.75,26048.25,26054.75
1764555600,26055,26061.75,26051.75,26058.5
1764555660,26057.75,26058.5,26051.75,26056
1764555720,26056,26061,26054.5,26055
1764555780,26055.25,26055.5,26047.25,26048.5
1764555840,26049,26051.25,26040.25,26040.75
1764555900,26041.5,26046,26038.5,26044.75
1764555960,26045.75,26050.25,26042,26045.25
1764556020,26045.75,26054,26045.75,26052.75
1764556080,26052.5,26056,26049.25,26053.5
1764556140,26054,26058,26052,26052.75
1764556200,26052.75,26060.75,26052.75,26057
1764556260,26056.25,26060.75,26055.75,26060.5
1764556320,26059,26068.5,26057.25,26062.5
1764556380,26063.5,26064.5,26058.5,26062.25
1764556440,26061.5,26064.25,26061.5,26063.75
1764556500,26064.5,26069.5,26062.75,26068
