time,open,high,low,close
1766365320,26176.75,26185,26175.75,26182.5
1766365380,26183.5,26187.75,26181,26187.25
1766365440,26187.25,26189.5,26185.75,26187.25
1766365500,26187.5,26197.25,26184,26194.25
1766365560,26194.25,26195.5,26185.5,26195
1766365620,26195.25,26195.75,26187.25,26190.25
1766365680,26190,26191.75,26188.25,26189.75
1766365740,26188.75,26190.5,26186.75,26188
1766365800,26187.5,26191.5,26187.25,26187.75
1766365860,26186.75,26192.25,26186.75,26189.75
1766365920,26189.25,26196.75,26189,26194.25
1766365980,26193.5,26195,26191.75,26192.75
1766366040,26193,26193.5,26189.25,26191.25
1766366100,26191,26192.25,26187.75,26190.75
1766366160,26190.5,26192.75,26189.5,26189.75
1766366220,26189.25,26191,26189,26189.75
1766366280,26189.75,26190,26188.25,26189.5
1766366340,26188.5,26189.25,26186.25,26189.25
1766366400,26189.25,26192.25,26187,26192.25
1766366460,26192.25,26194,26191.5,26191.75
1766366520,26191.25,26193.5,26188.25,26189
1766366580,26189.5,26190.5,26188.25,26188.75
1766366640,26188.5,26195.25,26188.5,26193.5
1766366700,26193,26195.75,26192.75,26195
1766366760,26194.75,26194.75,26192.25,26193.75
1766366820,26195,26196,26193.75,26194.25
1766366880,26194.25,26199,26194.25,26194.75
1766366940,26195,26202,26195,26197.5
1766367000,26198,26199.25,26195,26196
1766367060,26194.75,26199,26193.25,26195.5
1766367120,26196,26201.25,26196,26200.5
1766367180,26200,26201,26197.5,26199.25
1766367240,26199.25,26200.25,26196.5,26198
1766367300,26197.5,26199.25,26196,26197.25
1766367360,26197,26199.5,26196.25,26199.25
1766367420,26200,26200.5,26197.75,26198.75
1766367480,26199.25,26200.75,26198.25,26198.75
1766367540,26198.25,26202.5,26198,26202.25
1766367600,26202.5,26205.25,26198.25,26200
1766367660,26200.25,26202,26198.75,26199.75
1766367720,26199.5,26201.5,26198.25,26200.5
1766367780,26199.75,26201.75,26199.5,26199.5
1766367840,26200,26200.25,26197,26198.25
1766367900,26197.5,26200.25,26197.25,26200.25
1766367960,26200.75,26200.75,26195.25,26197.25
1766368020,26196.75,26201.25,26196.75,26200
1766368080,26199.75,26203,26199,26202.75
1766368140,26203.25,26203.5,26201,26203.25
1766368200,26202.75,26202.75,26199.25,26200.5
1766368260,26200.5,26201,26197.5,26197.5
1766368320,26197.25,26198.5,26194.75,26197.5
1766368380,26196,26198,26195.5,26197.25
1766368440,26196.25,26199.75,26196.25,26197.75
1766368500,26197.5,26199.75,26197.25,26199.5
1766368560,26198.75,26202.75,26198.25,26200
1766368620,26200.75,26202,26200,26200.5
1766368680,26200.75,26204,26197.25,26197.75
1766368740,26197.25,26198.75,26196.75,26197
1766368800,26197.25,26201,26195.5,26200.25
1766368860,26199.75,26201.25,26197.25,26198
1766368920,26200.25,26201.25,26198.5,26198.75
1766368980,26197.25,26197.75,26195.5,26197.75
1766369040,26198,26199,26194.5,26194.75
1766369100,26195.25,26196.25,26192.25,26192.75
1766369160,26194,26195.25,26189.75,26189.75
1766369220,26190,26193,26189,26190.75
1766369280,26192,26194,26191.25,26192
1766369340,26192.25,26194.75,26192.25,26194.5
1766369400,26193.75,26195.75,26191.75,26193.25
1766369460,26193.5,26194,26192,26192
1766369520,26190.75,26192.5,26189.25,26189.75
1766369580,26190,26191.75,26189.25,26190.5
1766369640,26189.75,26194,26189.25,26193.75
1766369700,26194.25,26198,26192.5,26198
1766369760,26197.75,26198.25,26194.75,26196
1766369820,26195.75,26203.25,26194.5,26200.25
1766369880,26200.25,26201.25,26198.5,26198.5
1766369940,26197.75,26197.75,26194.25,26194.25
1766370000,26194.5,26197,26194.5,26196.25
1766370060,26196,26196.75,26195,26196.5
1766370120,26195.5,26198.25,26195,26196.5
1766370180,26197.25,26197.25,26193.75,26194.25
1766370240,26195.25,26197.5,26195.25,26197.5
1766370300,26198,26198.75,26197.25,26197.5
1766370360,26197.5,26197.5,26196,26196.25
1766370420,26196,26198,26196,26197.5
1766370480,26198.5,26199.25,26196.25,26197.25
1766370540,26198,26201.5,26198,26200.25
1766370600,26199.5,26203.5,26199.5,26202.25
1766370660,26202.75,26206.75,26202.25,26205.75
1766370720,26205.5,26206.25,26204,26204.75
1766370780,26205.25,26206,26202,26203.75
1766370840,26203.25,26204.75,26203,26203.25
1766370900,26203,26204.25,26199.75,26200.25
1766370960,26200.5,26201.75,26199.5,26199.75
1766371020,26199.25,26200.5,26198.25,26198.5
1766371080,26198.75,26201.25,26198.5,26200.5
1766371140,26199.75,26200.25,26197.75,26198.5
1766371200,26198.75,26199.25,26196,26196
1766371260,26196.25,26199.25,26195.25,26197.25
1766371320,26197.5,26198.75,26195.25,26195.5
1766371380,26195.25,26195.75,26193.75,26195.75
1766371440,26195.75,26199.75,26195.5,26198.5
1766371500,26198.75,26201,26197.25,26197.25
1766371560,26198.25,26198.25,26195.25,26197
1766371620,26197.25,26197.75,26196.5,26196.5
1766371680,26197,26200.75,26197,26200
1766371740,26201.25,26202,26199.5,26201
1766371800,26201,26203.75,26199.5,26203
1766371860,26203.5,26204.25,26202,26204.25
1766371920,26204.25,26204.25,26201,26203.5
1766371980,26203.25,26204.25,26202.5,26203.25
1766372040,26203.25,26203.25,26201.75,26202.75
1766372100,26203.25,26203.5,26202.25,26203
1766372160,26202.25,26203,26201.5,26202.75
1766372220,26203,26203.75,26202.25,26202.25
1766372280,26203,26204.25,26202.5,26203.25
1766372340,26203.75,26205,26203.25,26203.75
1766372400,26204,26205.25,26203,26203
1766372460,26203,26203.5,26201,26201.75
1766372520,26202,26203.25,26201,26203.25
1766372580,26203.25,26203.75,26201.25,26201.75
1766372640,26202.25,26202.75,26201.25,26202.75
